Режиссер,Фильм,Год,Описание,Страна,Рейтинг
Ридли Скотт,Дом Gucci,2021,"Фамилия Гуччи звучала так сладко, так соблазнительно. Синоним роскоши, стиля, власти. Но она же была их проклятьем. Шокирующая история любви, предательства, падения и мести, которая привела к жестокому убийству в одной из самых знаменитых модных империй мира.","Канада, США",6.9
Ридли Скотт,Все деньги мира,2017,"История одного из самых громких скандалов XX века. В Риме преступники в масках похищают внука Жана Пола Гетти — богатейшего человека мира, известного своей маниакальной скупостью. Ко всеобщему шоку Гетти отказывается платить выкуп, несмотря на все мольбы Гэйл, матери ребенка, которой никакие богатства не заменят сына. Время истекает, требования похитителей становятся жёстче, и единственной надеждой на спасение подростка становится Флетчер Чейс — сотрудник службы безопасности самого Гетти.","США, Италия, Великобритания, Китай",6.8
Лана Вачовски,Матрица: Воскрешение,2021,"В двух реальностях Нео снова придется выбирать, следовать ли за белым кроликом. Выбор, пусть и иллюзорный, все еще остается единственным путем в Матрицу или из нее, что более опасно, чем когда-либо.",США,7.0
Андрей Тарковский,Солярис,1972,"На космическую станцию, сотрудники которой давно и тщетно пытаются сладить с загадкой планеты Солярис, полностью покрытой Океаном, прибывает новый учёный, психолог Крис Кельвин. Его задача - разобраться в странных сообщениях, поступающих со станции и закрыть её вместе со всей бесплодной «соляристикой». Поначалу ему кажется, что немногие уцелевшие на станции ученые сошли с ума, а потом он и сам становится жертвой жуткого наваждения: ему является его жена Хари, некоторое время назад покончившая с собой.",СССР,8.0
Андрей Тарковский,Сталкер,1979,"В некой запретной Зоне, по слухам, существует комната, где исполняются самые заветные желания. К этой комнате отправляются модный Писатель и авторитетный Профессор — каждый по своим причинам, о которых предпочитают не говорить. А ведет их туда Сталкер — проводник по Зоне — то ли юродивый, то ли апостол новой веры.",СССР,8.1
Дэвид Линч,Внутренняя империя,2006,"Актеры Никки Грейс и Девон Берк приступают к съемкам нового фильма «On High in Blue Tomorrows». По мере погружения в роль, жизнь Никки резко меняется: она перестает понимать, где кончается реальность и начинается кино. Неожиданно Никки узнает, что она не первая исполнительница роли. Несколько лет назад съемки прервались, после того как главных актеров нашли убитыми. Но еще больше Никки беспокоит то, что ее героиня становится более реальной, чем она сама...","Франция, Польша, США",6.9
Дэвид Линч,Кролики,2002,"Фильм, состоящий из восьми эпизодов о повседневной жизни людей, переодетых кроликами. Каждый эпизод показывает некую комнату и содержит скетчи с неожиданными диалогами трёх людей-кроликов, каждый из которых ведет свою собственную игру. «Кролики» сопровождены мрачными титрами: «В безымянном городе, поражённом непрекращающимся дождем… в страшной фантазии живут три кролика».",США,7.0
Альфред Хичкок,Психо,1960,"Мэрион Крэйн недовольна романом с разведенным мужчиной, который уделяет ей внимание только наездами. Поэтому девушка крадет на работе крупную сумму и в спешке бежит из города. Мэрион останавливается на ночь в мотеле, которым управляет Норман Бейтс — юноша, страдающий от гнёта своей горячо любимой, но деспотичной матери.",США,8.5
Роберт Земекис,Форрест Гамп,1994,"Сидя на автобусной остановке, Форрест Гамп — не очень умный, но добрый и открытый парень — рассказывает случайным встречным историю своей необыкновенной жизни.
С самого малолетства он страдал от заболевания ног, и соседские хулиганы дразнили мальчика, и в один прекрасный день Форрест открыл в себе невероятные способности к бегу. Подруга детства Дженни всегда его поддерживала и защищала, но вскоре дороги их разошлись",США,8.8
Квентин Тарантино,Криминальное чтиво,1994,"Двое бандитов Винсент Вега и Джулс Винфилд ведут философские беседы в перерывах между разборками и решением проблем с должниками криминального босса Марселласа Уоллеса.
В первой истории Винсент проводит незабываемый вечер с женой Марселласа Мией. Во второй рассказывается о боксёре Бутче Кулидже, купленном Уоллесом, чтобы сдать бой. В третьей истории Винсент и Джулс по нелепой случайности попадают в неприятности.",США,8.9
Ингмар Бергман,Персона,1966,"Знаменитая актриса внезапно перестает разговаривать. Никто не понимает, что с ней происходит, и психиатр отправляет ее с сиделкой на море. Актриса молчит и слушает, сиделка постоянно разговаривает, а границы между личностями двух женщин постепенно размываются.",Швеция,8.1
Ларс фон Триер,"Дом, который построил Джек",2018,"История серийного убийцы по имени Джек разворачивается в Америке 70-х. За 12 лет блестящей «карьеры» Джеку встретятся назойливая попутчица, наивная подружка и другие очаровательные в своей глупости жертвы. Пять невероятных, до жути изобретательных и порой до смеха абсурдных убийств, к каждому из которых Джек относится как к настоящему произведению искусства.","Дания, Франция, Швеция, Германия, Бельгия, Тунис",6.8
Ларс фон Триер,Меланхолия,2011,"События фильма разворачиваются в дни, которые предшествуют катастрофе. Первая часть посвящена свадьбе Жюстин, которая быстро охладевает к торжеству, чем вызывает непонимание близких и гостей. Героиней второй части является Клэр, сестра Жюстин. Вначале Клэр ухаживает за впавшей в клиническую депрессию Жюстин и одновременно страшится сообщений о приближении таинственной планеты Меланхолия. Постепенно, по мере приближения планеты, Жюстин и Клэр меняются ролями. Теперь паникующая Клэр нуждается в заботе. В отчаянии она с сестрой и сыном готовится принять неизбежное.","Дания, Швеция, Франция, Германия",7.2
Уэс Андерсон,Остров собак,2018,"История 12-летнего мальчика Атари Кобаяси, опекаемого коррумпированным мэром Кобаяши. Когда по Указу последнего все домашние собаки города Мегасаки изгоняются на громадную свалку, Атари в одиночку отправляется на миниатюрном летательном аппарате на мусорный остров, чтобы найти своего верного пса по прозвищу Спотс. Там на острове вместе со стаей новых друзей-дворняг он начнет эпичное путешествие, которое решит будущую судьбу всей Префектуры.","США, Германия, Япония, Великобритания",7.8
Уэс Андерсон,Семейка Тененбаум,2001,"Все члены семьи Тененбаум обладают уникальными способностями. Например, Чес уже в 10-летнем возрасте добился больших успехов в финансовой сфере, Ричи является одаренным теннисистом, Марго стала в 10 лет известным драматургом.
Дети выросли и выпорхнули из родительского гнезда, но семья решила воссоединиться, когда выяснилось, что отец семейства Роял Тененбаум страдает неизлечимой болезнью, и жить ему осталось чуть больше шести недель. За это время Роял постарается наверстать упущенное и уделить своим детям внимание, которым они были обделены в детстве.",США,7.6
Уэс Андерсон,Отель «Гранд Будапешт» ,2014,"Фильм рассказывает об увлекательных приключениях легендарного консьержа Густава и его юного друга, портье Зеро Мустафы. Сотрудники гостиницы становятся свидетелями кражи и поисков бесценных картин эпохи Возрождения, борьбы за огромное состояние богатой семьи и… драматических изменений в Европе между двумя кровопролитными войнами XX века.","США, Германия",8.1
Уэс Андерсон,Французский вестник. Приложение к газете «Либерти. Канзас ивнинг сан»,2021,"Собрание удивительных историй, опубликованных на страницах последнего выпуска еженедельного американского журнала, который выходил в свет в вымышленном французском городе в середине двадцатого века.","США, Германия",7.5
